kode_mk,nama_mk,sks,peminatan,semester,deskripsi
KMNF11001TI,Pendidikan Agama,2,dasar,3,"Mata kuliah Pendidikan Agama dirancang untuk memberikan pemahaman mendalam tentang nilai-nilai agama, etika, dan spiritualitas. Mata kuliah ini bertujuan untuk membantu mahasiswa memahami peran agama dalam kehidupan individu dan masyarakat, serta mengembangkan sikap toleransi dan kerukunan antar umat beragama."
KMNF21002TI,Bahasa Inggris 2,2,dasar,3,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman dan keterampilan penerapan bahasa Inggris tingkat lanjut yang fokus kepada peningkatan kompetensi keterampilan yang diperlukan untuk menyusun deskripsi saintifik dan melaksanakan komunikasi akademik yang efektif, baik dalam bentuk tulisan maupun presentasi dengan bahasa Inggris."
KMIE21001TI,Rekayasa Perangkat Lunak,3,dasar,3,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam menerapkan prinsip, metode, serta teknik rekayasa perangkat lunak. Fokus pembelajaran meliputi analisis kebutuhan, perancangan, pengembangan, pengujian, pemeliharaan, serta manajemen proyek perangkat lunak guna menghasilkan perangkat lunak yang berkualitas, terstruktur, dan sesuai dengan kebutuhan pengguna."
KBTI210001,Komputasi Paralel dan Terdistribusi,2,dasar,3,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam konsep serta penerapan komputasi paralel dan terdistribusi. Fokus pembelajaran mencakup arsitektur sistem paralel dan terdistribusi, model pemrograman, sinkronisasi proses, komunikasi antar proses, serta pemanfaatan sumber daya komputasi secara efisien untuk meningkatkan kinerja dan skalabilitas aplikasi."
KBTI210002,Pemrograman Berorientasi Objek,3,dasar,3,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam penerapan paradigma pemrograman berorientasi objek. Fokus pembelajaran meliputi konsep kelas dan objek, enkapsulasi, pewarisan, polimorfisme, serta penerapan desain program yang modular, reusable, dan mudah dipelihara dalam pengembangan perangkat lunak."
KBTI210101,Machine Learning,3,AI,3,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam konsep serta penerapan machine learning. Fokus pembelajaran meliputi supervised dan unsupervised learning, pemilihan fitur, pelatihan model, evaluasi kinerja, serta penerapan algoritma machine learning untuk menyelesaikan permasalahan nyata berbasis data."
KMTI21132,Information Retrieval,3,AI,3,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam konsep serta teknik information retrieval. Fokus pembelajaran mencakup pemrosesan teks, pengindeksan dokumen, pencarian informasi, pemeringkatan hasil pencarian, serta evaluasi sistem temu kembali informasi untuk menghasilkan informasi yang relevan dan akurat."
KMTI21133,Exploratory Data Analysis,3,AI,3,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam melakukan eksplorasi dan analisis awal terhadap data. Fokus pembelajaran meliputi pembersihan data, analisis statistik deskriptif, visualisasi data, identifikasi pola, tren, dan anomali, sebagai dasar pengambilan keputusan dan pengembangan model analitik lebih lanjut."
KBTI210102,DevOpsSec,3,Cyber ,3,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam penerapan DevOps yang terintegrasi dengan aspek keamanan (DevSecOps). Fokus pembelajaran mencakup otomatisasi pipeline CI/CD, manajemen infrastruktur, integrasi keamanan dalam siklus pengembangan perangkat lunak, serta praktik terbaik untuk menjaga keandalan dan keamanan sistem aplikasi."
KMTI21142,Keamanan Web,3,Cyber ,3,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam konsep dan penerapan keamanan pada aplikasi web. Fokus pembelajaran meliputi identifikasi kerentanan web, teknik pengamanan aplikasi, penerapan autentikasi dan otorisasi, perlindungan data, serta mitigasi serangan umum seperti SQL Injection, XSS, dan CSRF."
KMTI21141,Incident Response,3,Cyber ,3,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam penanganan insiden keamanan sistem informasi. Fokus pembelajaran meliputi identifikasi, analisis, mitigasi, pemulihan, serta dokumentasi insiden keamanan siber, termasuk penerapan prosedur respons insiden dan koordinasi tim untuk meminimalkan dampak gangguan terhadap sistem dan data."
KMNF12002TI,Pendidikan Pancasila dan Kewarganegaraan,2,dasar,4,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan sikap dalam menginternalisasi nilai-nilai Pancasila, konstitusi, dan kewarganegaraan. Fokus pembelajaran mencakup pembentukan karakter, kesadaran berbangsa dan bernegara, hak dan kewajiban warga negara, serta penerapan nilai Pancasila dalam kehidupan bermasyarakat, berbangsa, dan bernegara."
KMIE22001TI,Manajemen Proyek,3,dasar,4,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam perencanaan, pelaksanaan, pengendalian, dan evaluasi proyek. Fokus pembelajaran meliputi manajemen waktu, biaya, sumber daya, risiko, serta komunikasi tim proyek untuk memastikan proyek dapat diselesaikan secara efektif, efisien, dan sesuai dengan tujuan yang ditetapkan."
KMIE22002TI,Kecerdasan Artifisial,3,dasar,4,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam konsep dan penerapan kecerdasan artifisial. Fokus pembelajaran mencakup representasi pengetahuan, penalaran, pencarian solusi, sistem cerdas, serta penerapan algoritma kecerdasan artifisial dalam menyelesaikan permasalahan komputasi secara otomatis dan adaptif."
KBTI220002,Keamanan Komputer dan Jaringan,2,dasar,4,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam konsep dan penerapan keamanan komputer dan jaringan. Fokus pembelajaran meliputi pengamanan sistem operasi, jaringan komputer, kriptografi dasar, pengendalian akses, serta deteksi dan pencegahan ancaman keamanan untuk menjaga kerahasiaan, integritas, dan ketersediaan informasi."
KBTI220001,Pemrograman Fullstack,3,dasar,4,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam pengembangan aplikasi berbasis web secara menyeluruh (fullstack). Fokus pembelajaran meliputi pengembangan sisi frontend dan backend, integrasi basis data, pengelolaan API, serta penerapan konsep keamanan dan performa dalam membangun aplikasi yang fungsional dan responsif."
KMTI30106,Natural Language Processing,3,AI,4,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam konsep serta penerapan Natural Language Processing (NLP). Fokus pembelajaran mencakup pemrosesan teks, analisis bahasa alami, ekstraksi informasi, pemodelan bahasa, serta penerapan NLP untuk mengolah dan memahami data teks secara otomatis."
KMTI21131,Data Mining,3,AI,4,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam konsep dan teknik data mining. Fokus pembelajaran meliputi penggalian pola, asosiasi, klasifikasi, clustering, serta evaluasi hasil analisis untuk menemukan pengetahuan yang bernilai dari kumpulan data berskala besar."
KMTI30107,Pengolahan Citra,3,AI,4,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam konsep dan teknik pengolahan citra digital. Fokus pembelajaran mencakup akuisisi citra, peningkatan kualitas citra, ekstraksi fitur, segmentasi, serta penerapan pengolahan citra dalam berbagai bidang aplikasi."
KMTI22141,Kriptografi,3,Cyber ,4,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam konsep dan penerapan kriptografi. Fokus pembelajaran meliputi algoritma kriptografi simetris dan asimetris, fungsi hash, manajemen kunci, serta penerapan kriptografi untuk menjamin keamanan data dan komunikasi."
KMTI22142,Ethical Hacking,3,Cyber ,4,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam teknik dan etika pengujian keamanan sistem. Fokus pembelajaran mencakup metodologi penetration testing, identifikasi dan eksploitasi kerentanan, analisis risiko, serta penyusunan laporan keamanan dengan tetap menjunjung tinggi aspek hukum dan etika."
KMTI30108,Digital Forensics,3,Cyber ,4,"Mata Kuliah ini dirancang untuk membekali mahasiswa dengan pengetahuan, pemahaman, dan keterampilan dalam proses forensik digital. Fokus pembelajaran meliputi akuisisi, analisis, dan pelaporan bukti digital dari berbagai perangkat dan sistem, serta penerapan prosedur forensik yang sesuai dengan standar hukum dan profesional."
