kode_mk,nama_mk,sks,peminatan,semester,deskripsi
KBTI210001,Komputasi Paralel dan Terdistribusi,2,umum,3,"Mata kuliah Komputasi Paralel dan Terdistribusi membahas teknik pemrosesan komputasi secara paralel dan tersebar di banyak node, mencakup arsitektur multi-core, thread, MPI, OpenMP, sistem terdistribusi, MapReduce, konsistensi data, dan toleransi kesalahan (fault tolerance). Digunakan dalam konteks big data processing dan cloud computing. Kata kunci terkait: jaringan."
KBTI210002,Pemrograman Berorientasi Objek,3,umum,3,"Mata kuliah Pemrograman Berorientasi Objek (OOP) membahas paradigma pemrograman berbasis objek menggunakan Java atau Python, mencakup konsep kelas, objek, enkapsulasi, pewarisan (inheritance), polimorfisme, abstraksi, design pattern, dan prinsip SOLID. Fokus pada struktur kode yang modular dan dapat digunakan ulang (reusable)."
KBTI210101,Machine Learning,3,Artificial Intelligence,3,"Mata kuliah Machine Learning membahas teknik pembelajaran mesin untuk membangun model prediktif, mencakup supervised learning (regresi, klasifikasi), unsupervised learning (clustering, dimensionality reduction), dan neural network dasar. Termasuk dalam bidang kecerdasan buatan dan kecerdasan artifisial. Tools yang digunakan meliputi scikit-learn, TensorFlow, dan PyTorch. Berfokus pada pelatihan model, evaluasi akurasi, dan overfitting."
KMTI21132,Information Retrieval,3,Artificial Intelligence,3,"Mata kuliah Information Retrieval membahas teknik pencarian dan pengambilan informasi dari koleksi dokumen teks besar, mencakup indexing, TF-IDF, model vektor ruang (Vector Space Model), Boolean retrieval, ranking dokumen, query expansion, serta evaluasi sistem pencarian menggunakan precision dan recall. Relevan untuk pengembangan search engine dan sistem rekomendasi. Kata kunci terkait: data."
KMTI21133,Exploratory Data Analysis,3,Artificial Intelligence,3,"Mata kuliah Exploratory Data Analysis (EDA) membahas teknik eksplorasi awal kumpulan data sebelum pemodelan, mencakup pembersihan data (data cleaning), deteksi outlier, visualisasi distribusi, analisis korelasi, dan feature engineering menggunakan Python (pandas, matplotlib, seaborn). Fokus pada pemahaman karakteristik dataset secara statistik. Kata kunci terkait: analisis data, pengolahan data."
KBTI210102,DevOpsSec,3,Cyber Security,3,"Mata kuliah DevOpsSec membahas integrasi praktik pengembangan perangkat lunak, operasi sistem, dan keamanan (DevSecOps), mencakup CI/CD pipeline, containerisasi dengan Docker, orkestrasi Kubernetes, Infrastructure as Code, monitoring, serta integrasi pengujian keamanan otomatis dalam proses deployment."
KMTI21142,Keamanan Web,3,Cyber Security,3,"Mata kuliah Keamanan Web membahas identifikasi dan mitigasi kerentanan pada aplikasi web, mencakup OWASP Top 10, serangan SQL Injection, Cross-Site Scripting (XSS), Cross-Site Request Forgery (CSRF), autentikasi dan otorisasi yang aman, HTTPS, serta penggunaan tools seperti Burp Suite untuk pengujian keamanan aplikasi web."
KMTI21141,Incident Response,3,Cyber Security,3,"Mata kuliah Incident Response membahas prosedur penanganan insiden keamanan siber secara terstruktur, mencakup siklus incident response (persiapan, identifikasi, containment, eradikasi, pemulihan, lesson learned), analisis log, deteksi intrusi, koordinasi tim CSIRT, serta pelaporan insiden keamanan informasi."
KMNF12002TI,Pendidikan Pancasila dan Kewarganegaraan,2,umum,4,"Mata kuliah Pendidikan Pancasila dan Kewarganegaraan membahas nilai-nilai Pancasila, UUD 1945, sistem pemerintahan Indonesia, hak dan kewajiban warga negara, serta wawasan kebangsaan. Fokus pada pembentukan karakter kebangsaan dan kesadaran hukum, tidak berkaitan dengan teknologi informasi."
KMIE22001TI,Manajemen Proyek,3,umum,4,"Mata kuliah Manajemen Proyek membahas perencanaan, pelaksanaan, dan pengendalian proyek teknologi informasi, mencakup Work Breakdown Structure (WBS), diagram Gantt, manajemen risiko proyek, manajemen anggaran, metodologi Agile dan waterfall, serta penggunaan tools seperti Jira dan Trello. Fokus pada tata kelola dan keberhasilan proyek IT."
KMIE22002TI,Kecerdasan Artifisial,3,umum,4,"Mata kuliah Kecerdasan Artifisial membahas konsep dan algoritma AI klasik maupun modern, mencakup representasi pengetahuan, logika fuzzy, sistem pakar, pencarian heuristik (A*), algoritma genetika, jaringan saraf tiruan (neural network), dan pengantar deep learning. Berbeda dari machine learning yang fokus pada statistik, AI di sini menekankan pada reasoning dan knowledge-based systems. Kata kunci terkait: kecerdasan buatan."
KBTI220002,Keamanan Komputer dan Jaringan,2,umum,4,"Mata kuliah Keamanan Komputer dan Jaringan membahas perlindungan infrastruktur komputer dan jaringan dari ancaman siber, mencakup firewall, IDS/IPS, VPN, keamanan protokol jaringan (SSL/TLS, IPSec), hardening sistem operasi, manajemen patch, kontrol akses jaringan, dan monitoring trafik menggunakan Wireshark atau Snort. Kata kunci terkait: keamanan jaringan."
KBTI220001,Pemrograman Fullstack,3,umum,4,"Mata kuliah Pemrograman Fullstack membahas pengembangan aplikasi web secara menyeluruh dari sisi frontend hingga backend, mencakup React atau Vue untuk frontend, Node.js/Express atau Django untuk backend, REST API, koneksi ke database (SQL/NoSQL), autentikasi JWT, serta deployment ke cloud menggunakan Docker."
KMTI30106,Natural Language Processing,3,Artificial Intelligence,4,"Mata kuliah Natural Language Processing (NLP) membahas teknik pemrosesan bahasa alami oleh komputer, mencakup tokenisasi, stemming, lemmatisasi, POS tagging, Named Entity Recognition (NER), analisis sentimen, language model, transformers, dan fine-tuning model seperti BERT atau GPT. Termasuk dalam bidang kecerdasan buatan dan kecerdasan artifisial. Tools yang digunakan antara lain NLTK, spaCy, dan HuggingFace."
KMTI21131,Data Mining,3,Artificial Intelligence,4,"Mata kuliah Data Mining membahas teknik penggalian pola tersembunyi dari kumpulan data besar, mencakup algoritma klasifikasi (Decision Tree, Naive Bayes, SVM), clustering (K-Means, DBSCAN), association rule mining (Apriori), serta preprocessing data. Berbeda dari Basis Data yang berfokus pada SQL dan query, Data Mining berfokus pada penemuan pola dan pengetahuan dari dataset. Kata kunci terkait: pengolahan data."
KMTI30107,Pengolahan Citra,3,Artificial Intelligence,4,"Mata kuliah Pengolahan Citra membahas teknik manipulasi dan analisis gambar digital menggunakan komputer, mencakup representasi piksel, histogram, filtering spasial, deteksi tepi (edge detection), segmentasi citra, morfologi, dan pengantar computer vision. Termasuk dalam bidang kecerdasan buatan dan kecerdasan artifisial. Tools yang digunakan meliputi OpenCV dan Python."
KMTI22141,Kriptografi,3,Cyber Security,4,"Mata kuliah Kriptografi membahas ilmu pengamanan informasi melalui enkripsi dan dekripsi, mencakup kriptografi simetris (AES, DES), kriptografi asimetris (RSA, ECC), fungsi hash kriptografis (SHA, MD5), tanda tangan digital, protokol pertukaran kunci (Diffie-Hellman), serta penerapan kriptografi dalam komunikasi aman dan sertifikat digital. Kata kunci terkait: keamanan."
KMTI22142,Ethical Hacking,3,Cyber Security,4,"Mata kuliah Ethical Hacking membahas metodologi pengujian penetrasi (penetration testing) yang legal dan etis terhadap sistem komputer dan jaringan, mencakup reconnaissance, scanning port (Nmap), eksploitasi kerentanan, privilege escalation, dan pelaporan hasil pentest. Tools yang digunakan meliputi Kali Linux, Metasploit, dan Burp Suite. Fokus pada uji keamanan offensif yang bertanggung jawab. Kata kunci terkait: siber."
KMTI30108,Digital Forensics,3,Cyber Security,4,"Mata kuliah Digital Forensics membahas proses investigasi digital untuk mengungkap bukti elektronik, mencakup akuisisi image disk, analisis sistem file, recovery file yang terhapus, analisis log, forensik memori, forensik jaringan, serta prosedur chain of custody untuk keperluan hukum. Tools yang digunakan meliputi Autopsy, FTK, dan Wireshark. Kata kunci terkait: keamanan."
KBUM50001,Proyek Kerja Praktik 1,4,Pilihan,5,Mahasiswa melaksanakan kerja praktik di industri atau instansi untuk menerapkan ilmu yang telah dipelajari dalam lingkungan kerja nyata.
KBUM50002,Proyek Studi Independent 1,4,Pilihan,5,Mahasiswa melaksanakan studi mandiri pada topik tertentu di luar kampus untuk memperdalam kompetensi sesuai minat dan kebutuhan industri.
KBUM50003,Proyek Magang Riset 1,4,Pilihan,5,Mahasiswa mengikuti program magang riset di lembaga penelitian atau perguruan tinggi untuk mengembangkan kemampuan penelitian terapan.
KBUM50004,Proyek Kewirausahaan 1,4,Pilihan,5,Mahasiswa mengembangkan ide bisnis berbasis teknologi melalui program kewirausahaan dengan bimbingan mentor industri.
KBUM50005,Proyek Asistensi Mengajar 1,4,Pilihan,5,Mahasiswa berperan sebagai asisten pengajar di sekolah atau lembaga pendidikan untuk mengembangkan kemampuan komunikasi dan pengajaran.
KBUM50006,Proyek Kuliah Kerja Nyata 1,4,Pilihan,5,Mahasiswa terjun langsung ke masyarakat untuk menerapkan ilmu teknologi informasi dalam memecahkan permasalahan nyata di lingkungan sosial.
KBUM50007,Proyek Kemanusiaan 1,4,Pilihan,5,Mahasiswa berkontribusi dalam kegiatan kemanusiaan berbasis teknologi untuk membantu masyarakat yang membutuhkan.
KBUM50008,Proyek Pertukaran Mahasiswa 1,4,Pilihan,5,Mahasiswa mengikuti program pertukaran pelajar ke perguruan tinggi mitra untuk memperluas wawasan akademik dan budaya.
KBUM50009,Keterampilan Kerjasama,3,Umum,5,"Mata kuliah ini membekali mahasiswa dengan kemampuan bekerja dalam tim, komunikasi efektif, manajemen konflik, dan kolaborasi lintas disiplin dalam konteks proyek teknologi."
KBUM50010,Teknik Identifikasi Masalah,3,Umum,5,"Mata kuliah ini melatih mahasiswa dalam mengidentifikasi, menganalisis, dan mendefinisikan masalah secara sistematis menggunakan berbagai teknik seperti root cause analysis dan design thinking."
KBUM50011,Analisis dan Desain Solusi,3,Umum,5,"Mata kuliah ini membahas metode analisis kebutuhan dan perancangan solusi teknologi informasi yang efektif, mencakup pemodelan sistem, prototyping, dan evaluasi solusi."
KBUM50012,Pengujian Perangkat Lunak,3,Umum,5,"Mata kuliah ini membahas teknik dan metodologi pengujian perangkat lunak, mencakup unit testing, integration testing, system testing, dan automated testing untuk memastikan kualitas software."
KBUM50013,Technopreneurship,3,Umum,5,"Mata kuliah ini membahas konsep kewirausahaan berbasis teknologi, mencakup ideasi produk digital, model bisnis, validasi pasar, dan pengembangan startup teknologi."
KBUM60001,Proyek Kerja Praktik 2,4,Pilihan,6,Lanjutan kerja praktik semester sebelumnya dengan tanggung jawab dan kompleksitas pekerjaan yang lebih tinggi di industri atau instansi mitra.
KBUM60002,Proyek Studi Independent 2,4,Pilihan,6,Lanjutan studi mandiri dengan topik yang lebih mendalam dan menghasilkan luaran berupa karya atau produk yang dapat diterapkan.
KBUM60003,Proyek Magang Riset 2,4,Pilihan,6,Lanjutan magang riset dengan fokus pada penyelesaian penelitian dan penyusunan laporan hasil riset yang dapat dipublikasikan.
KBUM60004,Proyek Kewirausahaan 2,4,Pilihan,6,"Lanjutan pengembangan bisnis teknologi dengan fokus pada implementasi produk, validasi pasar, dan pengembangan model bisnis yang berkelanjutan."
KBUM60005,Proyek Asistensi Mengajar 2,4,Pilihan,6,Lanjutan program asistensi mengajar dengan peran yang lebih mandiri dalam merancang dan menyampaikan materi pembelajaran.
KBUM60006,Proyek Kuliah Kerja Nyata 2,4,Pilihan,6,Lanjutan program KKN dengan implementasi solusi teknologi yang lebih komprehensif untuk masyarakat.
KBUM60007,Proyek Kemanusiaan 2,4,Pilihan,6,Lanjutan proyek kemanusiaan dengan dampak yang lebih luas dan terukur bagi masyarakat yang membutuhkan.
KBUM60008,Proyek Pertukaran Mahasiswa 2,4,Pilihan,6,Lanjutan program pertukaran mahasiswa dengan keterlibatan lebih aktif dalam kegiatan akademik dan riset di perguruan tinggi mitra.
KBUM60009,Implementasi Solusi,3,Umum,6,"Mata kuliah ini membahas proses implementasi solusi teknologi secara nyata, mencakup deployment, konfigurasi sistem, dan integrasi komponen untuk menghasilkan produk yang siap digunakan."
KBUM60010,Presentasi Proyek,3,Umum,6,Mata kuliah ini melatih kemampuan mahasiswa dalam mempresentasikan hasil proyek teknologi secara profesional kepada berbagai pemangku kepentingan.
KBUM60011,Penulisan Dokumentasi Proyek,3,Umum,6,"Mata kuliah ini membahas teknik penulisan dokumentasi teknis proyek perangkat lunak, mencakup spesifikasi kebutuhan, panduan pengguna, dan laporan teknis."
KBUM60012,Keterampilan Kepemimpinan,3,Umum,6,"Mata kuliah ini membekali mahasiswa dengan kemampuan kepemimpinan dalam konteks tim teknologi, mencakup pengambilan keputusan, manajemen tim, dan kepemimpinan proyek."
KBUM60013,Integrasi Sistem,3,Umum,6,"Mata kuliah ini membahas teknik dan strategi integrasi berbagai komponen sistem informasi, mencakup API integration, middleware, dan arsitektur sistem terdistribusi."
KBUM70001,Metodologi Penelitian,2,Umum,7,"Mata kuliah ini membahas metode penelitian ilmiah di bidang teknologi informasi, mencakup perumusan masalah, tinjauan pustaka, desain penelitian, pengumpulan dan analisis data, serta penulisan karya ilmiah."
KBUM70002,Capstone Project,6,Umum,7,Mahasiswa mengerjakan proyek teknologi informasi secara komprehensif yang mengintegrasikan seluruh kompetensi yang telah dipelajari untuk menyelesaikan permasalahan nyata.
KBUM70003,Topik Khusus TI,3,Umum,7,Mata kuliah ini membahas topik-topik terkini dan relevan di bidang teknologi informasi sesuai perkembangan industri dan riset terbaru.
KBUM70004,Kewirausahaan,3,Pilihan,7,"Mata kuliah ini membahas konsep dan praktik kewirausahaan, mencakup pengembangan ide bisnis, penyusunan business plan, dan strategi pemasaran produk teknologi."
KBUM70005,Sistem Informasi Pilihan,3,Pilihan,7,Mata kuliah pilihan yang membahas topik sistem informasi lanjutan sesuai kebutuhan dan perkembangan industri teknologi informasi.
KBUM70006,Big Data,3,Pilihan,7,"Mata kuliah ini membahas konsep dan teknologi pengolahan data berskala besar, mencakup Hadoop, Spark, data pipeline, dan analitik big data untuk pengambilan keputusan berbasis data."
KBUM70007,Pemrograman IoT,7,Pilihan,7,"Mata kuliah ini membahas pengembangan sistem Internet of Things, mencakup pemrograman mikrokontroler, sensor, protokol komunikasi IoT, dan integrasi dengan platform cloud."
KBUM70008,Jaminan Kualitas Perangkat Lunak,3,Pilihan,7,"Mata kuliah ini membahas standar dan proses penjaminan kualitas perangkat lunak, mencakup quality assurance, quality control, dan penerapan standar seperti ISO dan CMMI."
KBUM70009,Visualisasi Data,3,Pilihan,7,"Mata kuliah ini membahas teknik dan tools visualisasi data untuk menyajikan informasi secara efektif, mencakup chart, dashboard, dan storytelling dengan data menggunakan tools seperti Tableau dan D3.js."
KBUM80001,Tugas Akhir,3,Umum,8,"Mahasiswa melakukan penelitian atau pengembangan sistem secara mandiri sebagai syarat kelulusan, menghasilkan karya ilmiah berupa skripsi atau produk teknologi yang orisinal."
KBUM80002,Metodologi Penelitian,2,Umum,8,"Pendalaman metodologi penelitian untuk mendukung penyelesaian tugas akhir, mencakup systematic literature review, analisis data lanjutan, dan penulisan ilmiah."
KBUM80003,Capstone Project,6,Umum,8,"Penyelesaian dan presentasi proyek teknologi informasi komprehensif sebagai puncak pembelajaran, mengintegrasikan seluruh kompetensi untuk menghasilkan solusi nyata."
KBUM80004,Topik Khusus TI,3,Umum,8,Pembahasan topik-topik mutakhir di bidang teknologi informasi yang relevan dengan tren industri dan penelitian terkini sebagai bekal memasuki dunia kerja.
KBUM80005,Etika Profesi,2,Pilihan,8,"Mata kuliah ini membahas etika dan tanggung jawab profesional di bidang teknologi informasi, mencakup kode etik, hak kekayaan intelektual, privasi data, dan dampak sosial teknologi."
KBUM80006,Sistem Informasi Pilihan,2,Pilihan,8,Mata kuliah pilihan lanjutan yang membahas topik sistem informasi spesifik sesuai kebutuhan industri dan minat mahasiswa.
